TAL1 (log2),Basophils,Basophils,Basophils,Basophils,Basophils,Basophils,Naive B-cells,Naive B-cells,Naive B-cells,Naive B-cells,Naive B-cells,B-cell class can switch,B-cell class can switch,B-cell class can switch,B-cell class can switch,B-cell class can switch,B-cells,B-cells,B-cells,B-cells,B-cells,B-cell class switched,B-cell class switched,B-cell class switched,B-cell class switched,B-cell class switched,CMP,CMP,CMP,CMP,Plasmacytoid DC,Plasmacytoid DC,Plasmacytoid DC,Plasmacytoid DC,Plasmacytoid DC,Myeloid DC,Myeloid DC,Myeloid DC,Myeloid DC,Myeloid DC,Eosinophill,Eosinophill,Eosinophill,Eosinophill,Eosinophill,Eryth.CD34+CD71+GlyA-,Eryth.CD34+CD71+GlyA-,Eryth.CD34+CD71+GlyA-,Eryth.CD34+CD71+GlyA-,Eryth.CD34+CD71+GlyA-,Eryth.CD34+CD71+GlyA-,Eryth.CD34+CD71+GlyA-,Eryth.CD34-CD71+GlyA-,Eryth.CD34-CD71+GlyA-,Eryth.CD34-CD71+GlyA-,Eryth.CD34-CD71+GlyA-,Eryth.CD34-CD71+GlyA-,Eryth.CD34-CD71+GlyA-,Eryth.CD34-CD71+GlyA-,Eryth.CD34-CD71+GlyA+,Eryth.CD34-CD71+GlyA+,Eryth.CD34-CD71+GlyA+,Eryth.CD34-CD71+GlyA+,Eryth.CD34-CD71+GlyA+,Eryth.CD34-CD71+GlyA+,Eryth.CD34-CD71loGlyA+,Eryth.CD34-CD71loGlyA+,Eryth.CD34-CD71loGlyA+,Eryth.CD34-CD71loGlyA+,Eryth.CD34-CD71loGlyA+,Eryth.CD34-CD71loGlyA+,Eryth.CD34-CD71loGlyA+,Eryth.CD34-CD71-GlyA+,Eryth.CD34-CD71-GlyA+,Eryth.CD34-CD71-GlyA+,Eryth.CD34-CD71-GlyA+,Eryth.CD34-CD71-GlyA+,Eryth.CD34-CD71-GlyA+,GMP,GMP,GMP,GMP,CFU-Granulo,CFU-Granulo,CFU-Granulo,CFU-Granulo,CFU-Granulo,Gran.(Neutro Metamyelo),Gran.(Neutro Metamyelo),Gran.(Neutro Metamyelo),Gran.(Neutro Metamyelo),Granulo (Neutro),Granulo (Neutro),Granulo (Neutro),Granulo (Neutro),HSC CD133+ CD34dim,HSC CD133+ CD34dim,HSC CD133+ CD34dim,HSC CD133+ CD34dim,HSC CD133+ CD34dim,HSC CD133+ CD34dim,HSC CD133+ CD34dim,HSC CD133+ CD34dim,HSC CD133+ CD34dim,HSC CD133+ CD34dim, HSC CD38- CD34+, HSC CD38- CD34+, HSC CD38- CD34+, HSC CD38- CD34+,CFU-Megakaryo,CFU-Megakaryo,CFU-Megakaryo,CFU-Megakaryo,CFU-Megakaryo,Megakaryocyte,Megakaryocyte,Megakaryocyte,Megakaryocyte,Megakaryocyte,Megakaryocyte,Megakaryocyte,MEP,MEP,MEP,MEP,MEP,MEP,MEP,MEP,MEP,CFU-Mono,CFU-Mono,CFU-Mono,CFU-Mono,Monocyte,Monocyte,Monocyte,Monocyte,Monocyte,NK CD56-CD16+,NK CD56-CD16+,NK CD56-CD16+,NK CD56-CD16+,NK CD56+CD16+,NK CD56+CD16+,NK CD56+CD16+,NK CD56+CD16+,NK CD56+CD16+,NK CD56-CD16-,NK CD56-CD16-,NK CD56-CD16-,NK CD56-CD16-,NK CD56-CD16-,NKT,NKT,NKT,NKT,Early B-cell,Early B-cell,Early B-cell,Early B-cell,Pro B-cell,Pro B-cell,Pro B-cell,Pro B-cell,Pro B-cell,CD8+Effec.Mem.RA,CD8+Effec.Mem.RA,CD8+Effec.Mem.RA,CD8+Effec.Mem.RA,Naive CD8+ T-cell,Naive CD8+ T-cell,Naive CD8+ T-cell,Naive CD8+ T-cell,Naive CD8+ T-cell,Naive CD8+ T-cell,Naive CD8+ T-cell,CD8+Effec.Mem.,CD8+Effec.Mem.,CD8+Effec.Mem.,CD8+Effec.Mem.,CD8+Effec.Mem.,CD8+Effec.Mem.,CD8+Centr.Mem.,CD8+Centr.Mem.,CD8+Centr.Mem.,CD8+Centr.Mem.,CD8+Centr.Mem.,CD8+Centr.Mem.,CD8+Centr.Mem.,Naive CD4+ T-cell,Naive CD4+ T-cell,Naive CD4+ T-cell,Naive CD4+ T-cell,Naive CD4+ T-cell,Naive CD4+ T-cell,Naive CD4+ T-cell,CD4+Effec.Mem.,CD4+Effec.Mem.,CD4+Effec.Mem.,CD4+Effec.Mem.,CD4+Effec.Mem.,CD4+Effec.Mem.,CD4+Effec.Mem.,CD4+Centr.Mem.,CD4+Centr.Mem.,CD4+Centr.Mem.,CD4+Centr.Mem.,CD4+Centr.Mem.,CD4+Centr.Mem.,CD4+Centr.Mem.
206283_s_at,9.63014190078,9.4254477016,7.85675933084,8.02143966282,9.66818753379,7.96054433524,6.83868662167,6.50655345306,6.89028822564,6.81679164119,6.61586198786,6.59475661294,6.33470396306,6.33709591835,7.17398703772,6.49425877279,5.89793641814,6.4245432485,6.17593830371,6.39048699813,6.70296907441,6.48227362258,6.06922323777,6.46079327591,6.30422454886,6.46081044646,11.3516098884,11.2140965307,12.0720756667,6.944155506,7.82123895782,6.59595109101,6.47215480244,7.45998557713,7.67687207117,7.07711731113,6.50332470622,6.81771697239,6.75728182508,6.65832595469,8.47147908513,9.79374524506,10.1567022564,9.45820374839,10.1571178146,12.58718782,11.5015172477,11.9769679466,11.9702084949,12.4438084932,12.9193403633,12.9497624746,12.106319774,12.8204455515,12.7643203906,12.4708585586,12.8244351634,12.3092346547,12.5734591016,13.3767320297,12.8680561593,13.448180721,12.8267262276,13.1946848789,13.8769427236,13.0045815991,13.0437872825,13.1673622558,12.892251905,12.5353738266,13.5273436253,13.6298909851,12.5127387202,12.9666194471,12.8581548284,12.5049090111,13.283456636,13.4788082294,10.2602891723,10.2813414621,11.3436375491,12.1822383599,9.19394218439,6.53572364251,12.2661528143,10.4352425965,10.5233454922,9.56923969666,10.5955533943,10.6427572215,10.7600751253,8.37100527215,10.7733939476,10.6543526736,10.0984173548,11.6808038556,12.0076295321,12.0474221228,11.8375000332,11.413085863,11.0807297949,11.7440612546,11.9748140014,11.7994895779,11.5404828393,12.1477077179,12.1976298722,12.3686264283,12.0599357206,13.0757856992,12.260365688,11.8008136147,12.3385358177,11.5540793951,11.2652375695,13.2519236228,13.5078284797,13.0595438762,12.3880480693,11.7173050872,11.7876703381,12.1772902216,12.3108985819,12.4220779413,12.4481238437,12.2897208374,12.2164537055,12.6588647102,12.7672161593,12.2963729043,9.34880920992,11.1936548369,10.0772166448,10.0843798439,8.39868692288,8.15556972197,8.90844317131,8.67344024046,9.60189374119,6.78185186734,7.01713182484,6.82628338061,6.37191413417,6.30418296041,6.74541628447,6.45565729316,6.65619294302,6.40584121396,6.27478878995,6.83208068047,6.34501081516,6.71391843784,7.46101753651,7.14444410268,6.82286098808,6.34521754163,7.13616442595,9.06682583422,8.27789958309,8.34772637984,10.1352027568,8.55787885655,8.25963195454,8.27503946718,8.3427548229,11.2210981777,8.48837860333,7.94333976557,6.73835549374,5.7023539156,7.47710388249,7.57367697773,6.31194283916,5.84414000052,5.97210690327,6.48478448263,6.67585594547,7.72876002204,7.07395139158,6.64019413653,6.38687320367,6.48042784684,6.86738982884,6.83482869573,8.592262698,6.75731933875,6.16707839515,6.6206026744,6.48362579373,7.01749864182,7.01913771679,7.6168298004,6.87719162866,7.06217304132,6.60059474249,6.6668032952,6.48504561633,8.07190229571,8.17523604806,6.84594377486,6.89455044036,6.36754738334,6.7226154821,7.22638942112,7.22645794043,7.71231973773,6.56580095607,6.44414105804,6.62423011652,6.63868700902,6.4618694243
216925_s_at,5.17999596093,5.15861840579,4.98302591547,5.20682273412,5.1261366986,5.19899044627,5.58861941556,5.52574595629,5.5732119853,5.69966268595,5.33673258676,5.27105256012,5.59984703409,5.42192039842,5.58704911251,5.30104754963,5.42288729999,5.76713919939,5.32987487539,5.91407931604,5.89844597751,5.68597134081,5.41430465119,5.50806793341,5.83711293484,5.59220274604,6.5354122616,5.07531188316,5.03669131933,5.01100442823,5.16820754918,4.77223399676,4.87910920523,4.85064776627,4.74187438803,5.06648411481,4.96249624261,4.90388535895,4.80184044821,4.71302332339,4.98713999884,4.90634786809,5.05420871629,5.17149622052,5.2773046702,6.00012290054,5.41429351061,6.41145667579,5.71522575869,6.12601087135,5.89970071103,6.50944390734,5.2298778889,7.70700081986,6.69803007957,6.54369239971,7.40340225821,6.28223077584,8.31471629087,10.7724009732,10.2835965601,10.6756025422,10.3751935175,10.6831904039,9.52111238631,10.0445155907,10.3294641631,9.61772090163,10.4122356919,7.88277260092,8.5050609139,9.67768259033,10.1972056235,10.1841488605,10.7228598305,8.4799002124,8.73268362121,8.98679351895,5.57581592999,6.40022476344,5.33861601245,4.92298220926,5.64624755242,5.3950196873,5.46129503199,5.63122310326,6.30158450864,5.84342330392,5.87016497402,5.88524054817,5.61802599079,5.65488601916,6.37414837641,5.35301425932,5.60999117969,5.4729678548,7.01729430112,6.19062711698,6.14897754784,6.03340057112,5.32342113585,5.68508154725,6.60267970888,6.22336159898,5.60141274446,6.882650481,6.49622832458,6.74381724665,6.32478289017,5.6564275545,5.46431133256,5.53735648407,5.20665308733,5.41973103464,5.28791589191,6.00667983064,6.30314820327,6.86703771815,5.46054081229,5.16063035634,5.32265730162,7.36935802512,6.48831821928,6.36484917247,5.57358106788,5.47410831783,5.57921174675,5.38016984789,5.3029531416,5.29892360919,5.03752072286,6.27654701316,4.89415045529,5.3553550125,5.17007880096,5.13987767046,5.35189751511,5.02495583615,5.25373566189,5.04626939538,5.01165301838,5.04439763544,4.84627445487,5.00967689505,4.90594738486,5.20390872544,5.06200039498,5.00937969633,4.85630258346,5.02425427976,4.9753031827,5.28680350431,4.96377993634,4.91684915272,5.16243320231,4.85238128734,4.82830231632,5.26682830957,5.06734964711,4.96389499043,4.98740720574,4.89846089761,5.11065453709,5.22829324086,5.04584391577,5.42705539841,5.12443846642,6.49188747342,5.13455319448,5.70257133325,5.07727869234,5.25808232156,5.50983936045,5.98736285906,5.62775811021,5.659747624,5.29949215747,5.01322156113,5.19832812598,5.32688807422,5.13847096526,5.30693996473,5.08040654773,5.01683096481,5.06336790141,5.38697201448,5.81767661005,5.40134413298,5.57695274315,4.95383155133,5.42884053119,5.24225347644,5.63194125868,5.69870822463,5.1517728598,5.81450945572,5.15604636108,5.08695276373,5.16358109306,5.44484286577,5.17518474245,6.44391632242,5.55654326824,5.16516549716,5.28982380491,5.09608814021,5.44164926112,5.27865111016,5.08269672242,5.6669318239,5.06038840431
216928_at,6.44475433489,6.15430388917,6.16594364997,6.11460800414,6.21220033845,5.87238601152,6.07294078639,5.47635371175,5.83978782361,5.7786435629,5.81141772886,5.83012402229,5.75209202445,5.56559501331,5.94579933001,6.05024625984,5.77075027881,5.96373011048,5.89635049666,5.66599473022,5.19883719754,5.69651418127,5.79041408306,5.70161157069,5.43844111912,5.79229302742,5.82782990063,5.77922808056,5.99694065248,5.99873721341,5.90960862618,5.59446961706,5.69011397738,5.88722130219,6.01170815554,5.87759954541,5.61402621857,5.73468886435,5.90465764901,5.66286747612,6.16411554769,5.78123545717,5.84487887459,5.85829350548,6.22929514179,5.89803572769,5.69799855922,6.23709095979,5.75105577198,5.75270266494,5.60633058804,5.71841041926,6.08337641292,5.36613521249,5.85125513794,5.79280136077,5.75511373809,5.48459636017,5.74579561651,8.1219516337,6.52739288476,7.67969147724,6.77236597023,8.27611199759,5.79029206419,6.92076993496,6.36858771348,6.68454751247,7.68029925198,5.8569271236,5.86546830863,6.05216273934,6.01982554053,6.70337657565,6.84960419058,6.88868991803,5.67430259657,6.10601306344,6.24916589565,5.71771638353,5.88303628244,5.81652022101,5.76162552702,5.73576218455,5.74813426368,5.98259956792,5.89971119595,5.48554158031,6.30156675952,6.00156095872,5.92013962151,5.49745589704,5.67703191093,5.73500600172,5.97089690034,5.57326077694,5.8887056375,5.49313097013,5.28108606247,6.11332953679,5.72998047351,5.74786952245,5.45001213438,5.46123383324,5.78247236221,5.48816138898,5.63041928997,5.62721239138,5.82782990063,6.00495720729,5.87618435147,6.16814053374,6.00798880822,5.7458141488,5.77464512454,5.85418477246,6.34621477867,6.45114293705,5.70217899355,6.11045626913,5.9423712422,5.91089563715,5.71671921206,5.92003710105,5.81340602577,5.79321905601,5.98112776937,5.95453493856,5.56096737157,6.02866119108,6.21147181444,5.59146594436,6.46249782429,5.95753736371,5.84771920754,5.60281583112,5.81185079417,5.72224801505,6.23596039333,5.76453377835,5.69296678371,5.66031135987,5.74378828205,5.74407538241,5.64988379916,5.7182006307,5.92599016462,5.62933377367,5.5856786292,5.80132063007,5.68595155315,6.31956943803,5.64611920688,5.66112214099,5.8005859856,5.70772985868,6.19689644813,6.0178759283,6.05111082065,6.97613808677,6.00048309086,5.80451523387,5.66703021835,6.59568434859,6.26984974058,5.59672958116,5.63285282073,5.99681719768,5.58661382258,5.44973989826,5.92933726976,5.98450792433,5.68207925053,5.58088847835,5.6005650247,5.42580847204,5.86033606581,5.83478542989,5.72056639856,5.82782990063,5.87087948755,5.62049749465,6.07137790956,6.34101385612,5.57725961741,5.78581583337,6.29114941825,5.75866927769,5.93125381236,5.77415339297,5.436633077,5.87036669183,6.51319305242,5.57394492163,6.10349350543,5.68848579651,5.97910019919,5.48305193539,5.68631684766,5.61161629568,5.71906897396,5.54340223692,5.56573273695,5.7727482722,6.21983931366,5.60098449788,5.75443193467,5.47907756908,5.69296017774,5.83284786229,5.73788195726
