GATA2 (log2),Basophils,Basophils,Basophils,Basophils,Basophils,Basophils,Naive B-cells,Naive B-cells,Naive B-cells,Naive B-cells,Naive B-cells,B-cell class can switch,B-cell class can switch,B-cell class can switch,B-cell class can switch,B-cell class can switch,B-cells,B-cells,B-cells,B-cells,B-cells,B-cell class switched,B-cell class switched,B-cell class switched,B-cell class switched,B-cell class switched,CMP,CMP,CMP,CMP,Plasmacytoid DC,Plasmacytoid DC,Plasmacytoid DC,Plasmacytoid DC,Plasmacytoid DC,Myeloid DC,Myeloid DC,Myeloid DC,Myeloid DC,Myeloid DC,Eosinophill,Eosinophill,Eosinophill,Eosinophill,Eosinophill,Eryth.CD34+CD71+GlyA-,Eryth.CD34+CD71+GlyA-,Eryth.CD34+CD71+GlyA-,Eryth.CD34+CD71+GlyA-,Eryth.CD34+CD71+GlyA-,Eryth.CD34+CD71+GlyA-,Eryth.CD34+CD71+GlyA-,Eryth.CD34-CD71+GlyA-,Eryth.CD34-CD71+GlyA-,Eryth.CD34-CD71+GlyA-,Eryth.CD34-CD71+GlyA-,Eryth.CD34-CD71+GlyA-,Eryth.CD34-CD71+GlyA-,Eryth.CD34-CD71+GlyA-,Eryth.CD34-CD71+GlyA+,Eryth.CD34-CD71+GlyA+,Eryth.CD34-CD71+GlyA+,Eryth.CD34-CD71+GlyA+,Eryth.CD34-CD71+GlyA+,Eryth.CD34-CD71+GlyA+,Eryth.CD34-CD71loGlyA+,Eryth.CD34-CD71loGlyA+,Eryth.CD34-CD71loGlyA+,Eryth.CD34-CD71loGlyA+,Eryth.CD34-CD71loGlyA+,Eryth.CD34-CD71loGlyA+,Eryth.CD34-CD71loGlyA+,Eryth.CD34-CD71-GlyA+,Eryth.CD34-CD71-GlyA+,Eryth.CD34-CD71-GlyA+,Eryth.CD34-CD71-GlyA+,Eryth.CD34-CD71-GlyA+,Eryth.CD34-CD71-GlyA+,GMP,GMP,GMP,GMP,CFU-Granulo,CFU-Granulo,CFU-Granulo,CFU-Granulo,CFU-Granulo,Gran.(Neutro Metamyelo),Gran.(Neutro Metamyelo),Gran.(Neutro Metamyelo),Gran.(Neutro Metamyelo),Granulo (Neutro),Granulo (Neutro),Granulo (Neutro),Granulo (Neutro),HSC CD133+ CD34dim,HSC CD133+ CD34dim,HSC CD133+ CD34dim,HSC CD133+ CD34dim,HSC CD133+ CD34dim,HSC CD133+ CD34dim,HSC CD133+ CD34dim,HSC CD133+ CD34dim,HSC CD133+ CD34dim,HSC CD133+ CD34dim, HSC CD38- CD34+, HSC CD38- CD34+, HSC CD38- CD34+, HSC CD38- CD34+,CFU-Megakaryo,CFU-Megakaryo,CFU-Megakaryo,CFU-Megakaryo,CFU-Megakaryo,Megakaryocyte,Megakaryocyte,Megakaryocyte,Megakaryocyte,Megakaryocyte,Megakaryocyte,Megakaryocyte,MEP,MEP,MEP,MEP,MEP,MEP,MEP,MEP,MEP,CFU-Mono,CFU-Mono,CFU-Mono,CFU-Mono,Monocyte,Monocyte,Monocyte,Monocyte,Monocyte,NK CD56-CD16+,NK CD56-CD16+,NK CD56-CD16+,NK CD56-CD16+,NK CD56+CD16+,NK CD56+CD16+,NK CD56+CD16+,NK CD56+CD16+,NK CD56+CD16+,NK CD56-CD16-,NK CD56-CD16-,NK CD56-CD16-,NK CD56-CD16-,NK CD56-CD16-,NKT,NKT,NKT,NKT,Early B-cell,Early B-cell,Early B-cell,Early B-cell,Pro B-cell,Pro B-cell,Pro B-cell,Pro B-cell,Pro B-cell,CD8+Effec.Mem.RA,CD8+Effec.Mem.RA,CD8+Effec.Mem.RA,CD8+Effec.Mem.RA,Naive CD8+ T-cell,Naive CD8+ T-cell,Naive CD8+ T-cell,Naive CD8+ T-cell,Naive CD8+ T-cell,Naive CD8+ T-cell,Naive CD8+ T-cell,CD8+Effec.Mem.,CD8+Effec.Mem.,CD8+Effec.Mem.,CD8+Effec.Mem.,CD8+Effec.Mem.,CD8+Effec.Mem.,CD8+Centr.Mem.,CD8+Centr.Mem.,CD8+Centr.Mem.,CD8+Centr.Mem.,CD8+Centr.Mem.,CD8+Centr.Mem.,CD8+Centr.Mem.,Naive CD4+ T-cell,Naive CD4+ T-cell,Naive CD4+ T-cell,Naive CD4+ T-cell,Naive CD4+ T-cell,Naive CD4+ T-cell,Naive CD4+ T-cell,CD4+Effec.Mem.,CD4+Effec.Mem.,CD4+Effec.Mem.,CD4+Effec.Mem.,CD4+Effec.Mem.,CD4+Effec.Mem.,CD4+Effec.Mem.,CD4+Centr.Mem.,CD4+Centr.Mem.,CD4+Centr.Mem.,CD4+Centr.Mem.,CD4+Centr.Mem.,CD4+Centr.Mem.,CD4+Centr.Mem.
209710_at,7.61329899357,8.05851147456,5.7945542668,5.98221152039,6.50071412744,6.18774052247,5.82444786164,5.84743931061,6.07652413114,5.8214363806,5.83793456672,6.65789963414,5.91193848536,6.21643549644,6.00705373554,6.0215999393,6.51238406731,6.24320511665,6.02343860909,6.98361705085,6.17406705474,5.84040560067,6.31092638368,5.78005969235,5.98377740025,5.72611852282,11.8113525388,11.2700536967,11.6312498969,5.72858196533,6.36039663914,5.88256944007,5.98421120302,9.14620149575,5.79210723172,5.87427689757,5.68822954406,6.34392753349,6.05688860131,5.52052648485,9.68900317646,10.3301984526,12.1408410101,10.2248456099,9.540354567,11.420024994,10.7795410773,10.9643437091,10.7453516753,11.9827771923,11.6257346747,11.6945615481,9.7206127843,11.0718989447,10.2052846266,11.1425697401,11.6567423995,11.0262614601,10.9252883635,6.62688431499,7.80625410473,7.49326735042,7.43038498435,8.32036427672,8.76180298357,6.86381150605,8.12403494568,6.13806297978,7.85587460828,11.2935785009,7.9535755118,8.25308740189,7.76570884687,7.32297801367,8.18778308307,6.05630737273,9.77926349599,7.61905954644,10.0860486653,9.48780083137,8.73660689643,12.4648087609,5.98193431896,5.52975223156,7.55654449922,8.00658896808,6.99870408981,6.95145262494,7.63737372675,7.32136247859,7.61675344904,6.12989835027,7.20581030183,6.74019959628,6.88174195856,10.4230934007,10.7136648057,11.3174048513,11.0096199329,10.4047392087,10.4614965424,10.5785168165,10.6740958815,10.8549853606,9.62021694529,11.3809052255,11.3020221852,10.7719384707,10.9222472632,9.55151418074,9.75956057237,9.53054471961,10.849941393,10.0507349739,9.39845352878,8.95175219938,10.1066703474,8.38413595678,8.81873237834,7.86361966413,7.41137995179,11.4767263649,11.2614759643,11.3500760258,11.7828422634,11.1100250977,11.673206444,11.4305875226,11.8578087205,10.9174374031,6.96752818257,9.60337513037,6.01656141926,6.25190969016,6.45982627625,5.68020246007,6.66251968396,6.38694225036,6.92030931926,5.60276974972,6.43348146336,5.83091532029,5.59333040045,5.54707246315,5.63678959247,5.84232014446,5.85400181735,5.72877836467,5.55191223272,5.89258265537,5.79270739744,6.31858474171,6.32655062862,6.13109385651,6.298664332,5.80284065427,6.01633223326,6.51036521903,6.41007845803,6.60654347152,6.38941044244,5.99167860258,6.01403169027,6.61582252043,5.86383279898,6.55881851235,6.07344581326,8.68056439501,5.95941562783,5.8480112986,6.21303635463,6.05341792715,5.68500388151,6.27315568209,5.64352850338,6.27251970786,5.77451531205,5.64422285519,6.58171097412,6.29734683727,5.7976909568,6.02401878521,5.87887561817,5.76339613655,5.94662854496,6.28670610112,5.75418713765,6.53395705215,6.24180483123,6.27520003827,6.35855027025,6.46439533899,6.48663902301,6.14005149639,6.01252685842,6.12894946999,6.00959947811,5.78802132314,5.94597716213,5.54296814736,5.63292831398,5.65709550503,5.94634717094,5.84810586269,6.00024120908,5.98640691234,5.81500960151,6.10733951231,5.95973161737,5.65557727817,5.72121702033
210358_x_at,5.9305943682,5.94806321164,5.80727855504,5.56940903717,6.19884217051,5.72033313118,6.09564841337,5.60044161103,6.27965273772,6.15384058719,6.08422130127,6.40546197993,5.91658065144,6.00157575834,5.84829459921,5.88715054833,6.10884565321,6.2924691294,6.01765190061,5.92450171228,6.31007779774,5.83152447118,5.86826759874,6.24925856829,6.05833691433,5.81270978306,7.65328659485,7.33363482277,6.58102513607,5.57680661673,5.68849404551,5.31382077675,5.91986720641,5.67903098852,5.72961099668,5.52528848245,5.50402188485,5.37917539215,5.541320089,5.55010213469,7.12763579179,7.3103275722,7.58658496742,7.64494454287,6.57533554425,7.22065309337,6.67990794515,7.10813118346,8.06156635867,7.25910307304,7.01385234137,7.13045297836,6.05393123104,8.22855591955,6.78689227226,7.00487120734,8.15711799478,7.34534564108,7.0689014638,6.62888283366,6.28078194618,6.16327280534,5.7563563052,6.26934909075,6.15463411782,6.19234467062,6.01147461693,5.77052258984,6.24850308111,7.63400394371,5.4492098897,5.95365909194,5.9377498323,5.83055751189,6.37381525175,5.624528011,7.04524515348,5.54926784972,6.74278244812,6.77985399868,6.26241551353,8.03215448829,5.60691783272,5.62390419492,6.60792636144,5.82673857397,5.7755507881,5.67626249718,5.86766332935,5.57265326862,6.40462826162,5.62160599462,6.05818733768,5.99537067872,6.10906853998,5.88381640023,8.01340885603,7.88971576422,7.27691871258,6.8926519182,6.60611143209,7.48940769001,7.13909411852,6.92675996294,6.62152507036,8.49195831212,8.03591856893,7.73279609013,7.6658088342,7.09241809589,7.44555477316,5.86126250729,8.50082722302,7.20406656773,6.20030851359,6.15666440483,6.5040166935,6.02136942775,5.61345877268,5.95125247763,5.9118601318,8.08302644077,7.88106375076,8.08711426561,7.50386038232,7.26549359617,7.69694529,6.5768907696,7.47936877158,7.98953587155,5.58397599054,6.66039603724,5.57774091864,5.48721602981,5.79229034921,5.49764473638,5.6286368983,5.26274542431,5.65730330682,5.26055331702,5.66693209683,5.48271589992,5.41265498657,5.36782414396,5.2824967947,5.4948391528,5.47725103506,5.38253153881,5.51121631725,5.45125166,5.59675589314,5.71160532686,5.53690925435,5.42221001451,5.30110079759,5.78727738072,5.62121218494,5.76573622931,5.58715854816,6.08899512224,5.68490439406,5.56375545949,5.42054594781,6.66653793377,5.38735892409,5.60319404493,5.52206320989,6.23405403496,5.56745203209,5.67687225112,5.74483743752,5.568954728,5.86035242917,6.27462099678,5.31521739752,5.39740232639,5.64664465572,5.76633479538,5.43464928671,5.52311561728,5.41269736579,5.80286710009,5.61373792632,5.68535728273,5.61454779989,5.80775317689,5.98338889263,5.74833426737,5.94611921446,5.55797291912,5.41467782905,6.03739033875,5.84317931027,5.92670917447,5.82747678398,5.77752779076,5.61689290796,5.48285744876,5.55491490216,5.8577035489,5.58249102328,5.73621932774,5.51593496504,5.32805223305,5.66133797083,5.66164146199,5.87418418563,5.42631609127,5.3001872453,6.15832568568,5.66132532626
207954_at,5.27458279952,5.04119083366,5.33197157881,5.37793084798,5.28677553989,5.21898652354,5.21440393032,5.22641446116,4.9555326223,5.27654904333,5.27288075546,5.54626505039,5.04843820375,5.26731042064,5.38586609047,5.16129711377,5.39644695441,5.2432697527,5.2460487562,5.25727592473,5.17557626761,5.20666927848,5.08256997164,5.14975648082,5.14358420308,5.35408247734,5.32800306215,5.20734268991,5.08104749453,5.24269947301,5.24162443693,5.30098147631,5.39711219637,5.83345254207,5.73014608567,5.26645667615,5.21540765997,5.35188878256,5.23669674614,5.61551718694,5.28001871892,5.3647257595,5.27355407977,5.12247219827,5.02391632911,5.15759857277,5.32459198087,5.44041485517,5.12818777463,5.31303931195,5.62369202009,5.4830560925,5.4416646893,5.49756943272,5.1821146108,5.08573393996,5.2853030722,5.4737944003,5.35789145538,5.49164158881,5.35491775623,5.73582773704,5.89069865254,5.60238738772,5.46684887928,5.24899114966,5.68385184125,5.23023082406,5.32792696304,5.24475551956,5.28806423248,5.14359439983,5.4099485243,5.73068646784,5.25603379009,5.96895698271,5.28117687988,5.27853980732,5.48419598655,5.35433972153,5.23019851648,5.54594790245,5.38153276527,5.24958322487,5.04731640017,5.16854179918,5.07175389301,5.49206911269,5.2460487562,5.36421944881,5.12294370525,5.22451043881,5.21454909212,5.16340439034,5.0815974732,5.10157020695,5.37404914698,5.55125014569,5.30061896596,5.10485545816,5.53844136753,5.08151471522,5.55038303323,5.16385000165,5.21337614293,5.53552096947,5.11653669499,4.99385719199,5.12345626435,5.25645804922,5.11851423294,5.21348589563,5.09998900984,5.1625482709,5.15375868854,5.10196359381,5.24202808766,5.27020258043,5.2149132661,5.37710409326,5.46859829823,5.42322204005,5.16547961531,5.13340425627,5.2576289991,5.36829867275,5.21300975518,5.28234751081,5.20937411839,5.18488368156,5.28424842304,5.3248885227,5.41797067063,5.60422997338,5.05965782401,5.14592684138,4.98214704735,5.24295735295,5.06057937518,5.18816179619,5.35258234451,5.16790993195,5.36943757893,5.37027292681,5.38732317437,5.15924447999,5.50096631835,5.29356275295,5.54515840481,5.22122526986,5.80405072474,5.25360509179,5.59770366741,6.22010055638,5.07895944013,5.44045068742,5.50751409017,5.08495379568,4.97328163396,5.38685341887,5.25806244824,5.14988731782,5.40497185254,5.36342330454,5.42809504464,5.77999333298,5.36155984637,5.55054393205,5.57994808179,5.23695180613,5.05951455064,5.12688352519,5.28607270047,5.11897417778,5.27700862613,5.15502256469,5.1533000316,5.16110551021,5.32432053917,5.81023725251,5.11276186429,5.03012491911,5.28434718513,5.07342803945,5.05811292177,5.24052995519,5.10625032046,5.31910774484,5.69475515043,5.2460487562,4.8565868717,5.08438439841,5.05160452071,5.37800146469,5.14412805216,5.17867658769,5.26498534008,5.16732826951,5.07447198177,5.34190364344,5.14606383398,5.42515470863,5.07549073454,5.00004844138,4.99899865444,5.29650920634,5.02893637202,5.2215527809,5.00580137972,5.16680463148,5.12509214761
