NPM1 (log2),Basophils,Basophils,Basophils,Basophils,Basophils,Basophils,Naive B-cells,Naive B-cells,Naive B-cells,Naive B-cells,Naive B-cells,B-cell class can switch,B-cell class can switch,B-cell class can switch,B-cell class can switch,B-cell class can switch,B-cells,B-cells,B-cells,B-cells,B-cells,B-cell class switched,B-cell class switched,B-cell class switched,B-cell class switched,B-cell class switched,CMP,CMP,CMP,CMP,Plasmacytoid DC,Plasmacytoid DC,Plasmacytoid DC,Plasmacytoid DC,Plasmacytoid DC,Myeloid DC,Myeloid DC,Myeloid DC,Myeloid DC,Myeloid DC,Eosinophill,Eosinophill,Eosinophill,Eosinophill,Eosinophill,Eryth.CD34+CD71+GlyA-,Eryth.CD34+CD71+GlyA-,Eryth.CD34+CD71+GlyA-,Eryth.CD34+CD71+GlyA-,Eryth.CD34+CD71+GlyA-,Eryth.CD34+CD71+GlyA-,Eryth.CD34+CD71+GlyA-,Eryth.CD34-CD71+GlyA-,Eryth.CD34-CD71+GlyA-,Eryth.CD34-CD71+GlyA-,Eryth.CD34-CD71+GlyA-,Eryth.CD34-CD71+GlyA-,Eryth.CD34-CD71+GlyA-,Eryth.CD34-CD71+GlyA-,Eryth.CD34-CD71+GlyA+,Eryth.CD34-CD71+GlyA+,Eryth.CD34-CD71+GlyA+,Eryth.CD34-CD71+GlyA+,Eryth.CD34-CD71+GlyA+,Eryth.CD34-CD71+GlyA+,Eryth.CD34-CD71loGlyA+,Eryth.CD34-CD71loGlyA+,Eryth.CD34-CD71loGlyA+,Eryth.CD34-CD71loGlyA+,Eryth.CD34-CD71loGlyA+,Eryth.CD34-CD71loGlyA+,Eryth.CD34-CD71loGlyA+,Eryth.CD34-CD71-GlyA+,Eryth.CD34-CD71-GlyA+,Eryth.CD34-CD71-GlyA+,Eryth.CD34-CD71-GlyA+,Eryth.CD34-CD71-GlyA+,Eryth.CD34-CD71-GlyA+,GMP,GMP,GMP,GMP,CFU-Granulo,CFU-Granulo,CFU-Granulo,CFU-Granulo,CFU-Granulo,Gran.(Neutro Metamyelo),Gran.(Neutro Metamyelo),Gran.(Neutro Metamyelo),Gran.(Neutro Metamyelo),Granulo (Neutro),Granulo (Neutro),Granulo (Neutro),Granulo (Neutro),HSC CD133+ CD34dim,HSC CD133+ CD34dim,HSC CD133+ CD34dim,HSC CD133+ CD34dim,HSC CD133+ CD34dim,HSC CD133+ CD34dim,HSC CD133+ CD34dim,HSC CD133+ CD34dim,HSC CD133+ CD34dim,HSC CD133+ CD34dim, HSC CD38- CD34+, HSC CD38- CD34+, HSC CD38- CD34+, HSC CD38- CD34+,CFU-Megakaryo,CFU-Megakaryo,CFU-Megakaryo,CFU-Megakaryo,CFU-Megakaryo,Megakaryocyte,Megakaryocyte,Megakaryocyte,Megakaryocyte,Megakaryocyte,Megakaryocyte,Megakaryocyte,MEP,MEP,MEP,MEP,MEP,MEP,MEP,MEP,MEP,CFU-Mono,CFU-Mono,CFU-Mono,CFU-Mono,Monocyte,Monocyte,Monocyte,Monocyte,Monocyte,NK CD56-CD16+,NK CD56-CD16+,NK CD56-CD16+,NK CD56-CD16+,NK CD56+CD16+,NK CD56+CD16+,NK CD56+CD16+,NK CD56+CD16+,NK CD56+CD16+,NK CD56-CD16-,NK CD56-CD16-,NK CD56-CD16-,NK CD56-CD16-,NK CD56-CD16-,NKT,NKT,NKT,NKT,Early B-cell,Early B-cell,Early B-cell,Early B-cell,Pro B-cell,Pro B-cell,Pro B-cell,Pro B-cell,Pro B-cell,CD8+Effec.Mem.RA,CD8+Effec.Mem.RA,CD8+Effec.Mem.RA,CD8+Effec.Mem.RA,Naive CD8+ T-cell,Naive CD8+ T-cell,Naive CD8+ T-cell,Naive CD8+ T-cell,Naive CD8+ T-cell,Naive CD8+ T-cell,Naive CD8+ T-cell,CD8+Effec.Mem.,CD8+Effec.Mem.,CD8+Effec.Mem.,CD8+Effec.Mem.,CD8+Effec.Mem.,CD8+Effec.Mem.,CD8+Centr.Mem.,CD8+Centr.Mem.,CD8+Centr.Mem.,CD8+Centr.Mem.,CD8+Centr.Mem.,CD8+Centr.Mem.,CD8+Centr.Mem.,Naive CD4+ T-cell,Naive CD4+ T-cell,Naive CD4+ T-cell,Naive CD4+ T-cell,Naive CD4+ T-cell,Naive CD4+ T-cell,Naive CD4+ T-cell,CD4+Effec.Mem.,CD4+Effec.Mem.,CD4+Effec.Mem.,CD4+Effec.Mem.,CD4+Effec.Mem.,CD4+Effec.Mem.,CD4+Effec.Mem.,CD4+Centr.Mem.,CD4+Centr.Mem.,CD4+Centr.Mem.,CD4+Centr.Mem.,CD4+Centr.Mem.,CD4+Centr.Mem.,CD4+Centr.Mem.
200063_s_at,12.1246519979,12.0562525528,11.1805325734,11.8122050701,11.9858605047,12.3607428097,13.0425251104,13.2118659065,13.012351001,13.0468256565,13.1646320328,13.1080186105,13.1268956137,13.0726422299,13.0993584865,12.9741821423,13.0265365599,13.0058742818,12.9806018665,12.9341745588,12.8871101432,13.0803272451,13.1032304893,13.0437673682,13.1255140872,12.9805329479,13.3521101261,13.0600146704,13.303698396,12.9684153727,11.8911215474,12.769411097,12.1614760515,12.5497759794,12.6746545186,12.548704962,12.5790761098,12.5364329086,12.5842128176,12.5743925971,11.8142692864,12.7782428981,12.8316920052,11.8132204809,12.0677292765,13.4853436032,13.2758815629,13.5317357061,13.1178977782,13.407322801,13.2676372072,13.4005321495,12.7760149137,13.2133218202,13.2395569032,13.271994873,13.4952060634,13.5326935241,13.398773544,11.0075611282,9.6196463575,10.9500288292,10.4731125035,10.3743023053,11.7897794503,11.0903637416,10.2711507427,8.57725786835,11.2830656016,13.0750627944,11.7702299228,12.4367893106,11.8680351018,8.88281172057,11.3788885396,10.7482575068,12.0786462409,11.6917915245,12.6765307767,12.6557473238,12.201772182,13.1415850322,13.0766631515,13.0858496705,13.0765143182,13.1694082311,13.0931984682,12.7766628601,12.0986777153,12.3382542551,12.2686896825,12.2401683802,12.4383263828,12.2210214701,12.4146643267,13.3217702746,13.378205459,13.4659867289,13.3613057293,13.3751656993,13.0760893236,13.4100130097,13.2349211002,13.3887950852,13.4954492392,13.3832413962,13.3611973093,13.2485505855,13.2890568451,12.2033835676,12.0095791821,12.2895593421,12.9753515133,12.645139726,12.557502764,11.3242239165,12.146469494,12.3149238805,11.8613995199,12.4866947158,10.8851093889,13.4081827991,13.331505149,13.3414717514,13.5602065729,13.6238918042,13.5314980357,13.3195907628,13.4539568362,12.9682366685,12.0318553742,12.499549258,11.4882993627,11.5836052869,12.406965781,12.397125934,12.2105134035,12.2562316013,11.6342595965,11.6767163573,11.8808954677,11.9025075595,11.4257398763,12.6845612674,12.6061349642,12.7471512216,12.6426826114,12.7553531434,12.8612194344,12.8649243115,12.7864718588,12.5395144846,12.9203282388,12.1562948638,12.0226124704,12.9140432897,12.5335502491,12.1013238897,11.7066456578,11.1563178031,11.29016556,11.9091719464,12.1316099686,11.9254778231,11.4993678908,12.2458923909,11.444955177,12.8991053886,13.0359586986,12.8121484662,12.8071081769,12.654509406,13.127720053,13.2861626952,13.2447300373,13.2686108707,13.3003906532,12.2222754551,12.9200188775,13.0013992513,13.1045486534,12.9198019131,12.9812717472,12.3076260791,12.2528323109,13.0147647788,13.0713703826,13.0781986269,13.1092936093,13.0444202359,12.8353695617,12.7831417358,13.0601792544,13.2073268475,13.2994751594,13.2522393643,13.1509111793,11.9597897902,12.1336503068,13.0608393709,13.0218348953,13.0547638328,13.1170443778,12.9460323729,12.6663028448,12.2145958169,13.0400026336,13.1006202678,13.1746876016,13.2536250012,13.0348593308
221691_x_at,12.0629673295,12.1574438845,11.8202622183,12.150295206,11.6247770717,12.3055966851,12.3818926538,12.5932540846,12.3419931887,12.6036849562,12.6773978794,12.5366320894,12.5876490678,12.4615864821,12.5565567574,12.3232014912,12.4306999468,12.3252936912,12.3273389915,12.4147295143,12.2928579389,12.5504124775,11.3670301245,12.5537816275,12.733602675,12.4756341591,12.586052358,12.402109296,12.8916740827,12.1392805261,12.1348205986,11.9338695261,10.8981785156,11.8921729135,11.6032370936,12.2861703911,12.0667327731,12.1065132502,12.1774771723,11.8923633387,12.1725728384,12.4742973077,12.3688454651,11.7267110596,11.8455577515,13.0591703833,12.7315370969,13.006432991,12.9299891905,12.9114503844,13.0314295479,12.9865898805,11.9973729861,12.9388992632,12.7319692266,12.7266095183,13.2110904712,12.9997424401,12.8623102519,10.5344635957,8.9902337331,10.5722247916,9.72946208957,10.4870669011,11.3110529373,10.4346786862,8.85418532604,10.4159675639,10.5535309486,12.5236392913,11.0389769212,11.8414618229,8.91986440188,9.29188225224,10.6749131362,8.57629332822,11.7120271105,10.8569578568,12.4779914344,12.1726524811,11.3591877317,12.5241361448,12.5448766958,12.65596669,12.7863190097,12.7442288647,12.7129354537,12.2232362134,11.6060703751,11.8206118837,11.713475351,11.5793581809,11.8932337227,11.8660258086,11.8434965984,12.8674067345,12.9818752475,13.1215374225,12.974609514,12.9903671235,12.5567781081,12.9998245769,13.0878338908,13.0820644104,13.2313203942,13.2098400835,13.0796354934,13.1912820438,12.9050995939,11.7536451746,12.5741411207,12.8048643264,13.0204498107,12.9791431234,12.4418297413,11.4402255379,12.4047970429,12.2155693758,12.0369583508,12.1899963233,11.578712972,12.8784771338,12.9773628006,13.124661332,12.9445458083,13.0829069664,13.0571540086,13.0399621021,13.1346305065,13.1639290994,11.8569557059,12.0796457058,11.9250594183,11.4766144044,11.9022846434,11.8681029335,11.8190299876,11.5531459278,11.7542869936,10.7234480202,11.0662495354,10.7919419432,11.3233348763,11.8676660704,11.8028705301,12.1132573124,11.6030409451,11.8407876004,11.6118226944,12.0987956024,11.6239675213,12.249317965,12.1698536595,11.2114400001,11.2109640037,12.1514599558,11.2593074036,12.1557555208,11.9616870179,11.3540909399,11.1270134092,11.9165173912,11.9060394197,12.3939124533,11.4572897044,12.1270921042,11.6918793292,11.8087899398,11.145544196,12.0591866328,12.675167094,12.4557338592,12.4225273571,12.7458256175,12.4202147033,12.6572192234,12.6961582434,12.3250581733,12.0945587971,11.8800940109,12.0371016805,12.2074666712,12.3747513956,12.1515941265,12.4095038025,12.5631822038,12.5362021569,12.4032271622,12.3410477863,12.465675751,12.5544246216,12.4710937398,12.1928730392,12.4130859937,12.4547283392,12.8113258505,12.6796618882,11.8497055656,12.3111920605,12.2092823047,12.4070413406,12.4407907768,12.2655378869,12.2896476051,12.1581189638,12.2060774985,12.3736216425,12.1460868164,11.7616547845,12.6459258901,12.4006504959
221923_s_at,8.78562281868,9.21968208498,8.04136559573,8.32271189227,8.53036347836,9.06622003814,9.6592039183,9.9790280762,9.62262695347,10.2537092037,10.2558135808,10.0406711195,10.4008631918,9.86093495273,9.79771847804,9.55600491543,9.81876337245,8.93900187996,9.45702723597,9.93375860558,9.13057231733,10.2882417538,10.027372887,9.80582397902,10.2434929746,10.0590717554,10.7388636984,10.2069445167,9.82822103344,8.64723670201,9.34575687231,7.2639125791,6.99423509434,8.05525011171,5.95435098021,9.39170108083,9.04884758702,9.00078768646,8.84504325517,7.55761199072,8.10808963467,9.7186349254,9.22641862922,8.39011741133,9.1959205919,11.2639919876,10.081011854,11.0492406059,11.2562853046,10.7838128329,11.1696934176,11.5379245473,10.5521706482,10.628249102,10.6360630121,10.9214811783,11.3353037637,11.3276932675,11.2328642356,7.94233178083,6.59883478097,8.80602277944,7.00927929598,8.45736724129,10.0088945273,7.7704177945,6.96589675404,6.04955109571,6.96207431707,10.298480629,7.86796244868,10.7780409462,7.17537788689,7.86056725294,7.88356016482,6.94483654379,8.51513512559,8.43648916272,10.3306135806,10.0685328537,8.65894064028,9.48917870723,10.1730215236,10.263065209,10.8929834444,10.4386085876,10.4447895573,9.22431834173,9.05295970049,9.47487278531,9.63051964605,8.629336168,9.26664368679,9.34680500907,9.19297263482,10.9586048045,11.2996412683,11.2918694173,10.8349126451,10.9343429235,9.15552441556,11.0042824108,10.9027855564,11.0155642295,11.4675525307,11.0690681883,10.7937168563,11.3263110753,10.6508819943,9.10672473329,9.98993438814,9.52702931997,10.9544859148,10.6128872107,9.13717597841,7.67262447041,10.0264872645,8.98449957399,8.77042213709,8.90343913573,7.60562647353,11.313529926,11.2507030395,11.3553351579,11.5033322336,10.7287148105,10.953223405,10.5066908436,10.890728246,11.1067153511,8.92927057774,9.60704093031,8.10993918374,8.13330966086,9.0729931637,9.37836577611,8.87172737801,8.60243602319,8.35639061174,7.31214516093,7.30481952661,6.97233520139,6.1354686615,7.86813570897,7.42910265884,8.6955940555,7.49085462475,7.28871691819,7.60075524436,8.5393194255,7.19484191722,9.15274816762,7.83417345105,7.18291293105,8.00119782287,8.51872576637,8.44519182209,8.64924432726,7.7872718501,8.47996691416,8.22098760954,8.4854289506,9.01501712281,9.61862022538,8.18183481326,8.98314139248,7.56325639764,8.23164848556,8.67907747377,9.56049472451,9.34020635412,9.61032130134,9.76477131292,10.1938191544,9.97961970999,10.7205551529,9.58156840631,8.47707662701,9.47865523051,9.57319055993,9.26294591941,9.71903779723,9.00530420838,8.30561197914,8.7402112366,9.82052452072,9.79064603047,9.53640543446,9.67519321901,8.98746861619,9.87710445501,9.17307620876,10.0782692675,9.48661922087,9.20253928916,10.1747174937,9.49537704584,9.15835098107,8.1429901422,9.63144502021,9.59308363111,9.56869066373,9.79193595426,9.02873303365,9.50613995518,8.88957280941,9.37755080418,9.40512294662,9.76946915238,9.7104816855,9.20435812739
