sample	TAL1	MEIS1	RUNX1	NPM1	FLT3	MPO	SPI1	ELANE	IDH1	KIT	GATA1	KLF1	DNMT3A	CSF3R	GATA2	IDH2	SOD1	cell_type
Eryth.CD34+CD71+GlyA-.3	11.9702084949	9.3422631622	12.2522771423	13.1178977782	6.83001352181	11.1499386407	6.05896067191	6.02561739665	12.0032519131	10.3928992867	5.67634171588	7.52015027327	6.06570173557	5.50823197592	10.7453516753	8.90906358926	11.4836947398	Eryth
Eryth.CD34+CD71+GlyA-.4	12.4438084932	9.34706060834	12.454108624	13.407322801	7.74351847045	8.40815184483	6.05932255796	5.20638581591	11.2153548833	9.89407780701	5.647892848	9.04693457184	5.59243785691	5.24505539579	11.9827771923	9.43645136563	11.449087222	Eryth
Eryth.CD34+CD71+GlyA-.5	12.9193403633	8.44227926972	12.2229405514	13.2676372072	6.17943804959	11.8025325746	6.24766127501	6.56380167858	11.6964373459	10.7691140687	6.97957542959	9.63618442969	5.59608015597	5.51392750843	11.6257346747	9.70283684512	11.6254441065	Eryth
Eryth.CD34+CD71+GlyA-.6	12.9497624746	8.49169669414	12.3497948094	13.4005321495	5.4309430965	8.11824047532	6.2712798159	5.36884397603	11.8366439843	10.6295185419	7.1517229906	9.85074850363	5.92048153321	5.15789263893	11.6945615481	8.86992150524	12.0179560584	Eryth
Eryth.CD34-CD71+GlyA+	13.3767320297	5.90780307598	8.08157329784	11.0075611282	5.48306346422	6.17676781705	6.34773058736	5.46208661259	9.23829247941	6.39796813686	9.02202706148	12.7225064338	5.64230937089	5.64259889203	6.62688431499	9.7905265577	12.7708126688	Eryth
Eryth.CD34-CD71+GlyA+.1	12.8680561593	5.78241599886	8.55586639397	9.6196463575	5.76045628805	7.68138383791	6.20652904801	5.82730682942	6.37354880092	6.43874125891	8.7334206964	12.4355408839	5.99007447394	6.0855804826	7.80625410473	6.95694603275	12.6650605187	Eryth
Eryth.CD34-CD71+GlyA+.2	13.448180721	5.93517600897	8.68388179391	10.9500288292	5.66945411506	6.93372417199	5.86789772943	5.82496423445	8.43256427406	6.86239609683	9.70967941053	13.0248975338	5.94137503825	5.34146762669	7.49326735042	9.62124089075	12.948563218	Eryth
Eryth.CD34-CD71+GlyA+.3	12.8267262276	6.41905903743	8.70500423265	10.4731125035	6.02901086413	8.25760366413	6.31814759646	5.65338852028	6.53314812653	6.60561182106	8.02535868963	12.0855758091	5.86096281736	5.20220329345	7.43038498435	7.44518243912	12.9586728563	Eryth
Eryth.CD34-CD71+GlyA+.4	13.1946848789	6.20944220507	8.43687519826	10.3743023053	6.43545069097	6.60455739438	5.70560518862	6.03717963798	8.38832123981	6.48535060009	9.50866684225	12.8779351549	5.56829978959	5.41517757021	8.32036427672	9.20327983335	12.8236893645	Eryth
Eryth.CD34-CD71+GlyA+.5	13.8769427236	6.0907877941	9.93048367016	11.7897794503	5.36613643003	9.73787961066	5.96893709864	7.11111887424	9.77562408855	7.6899487834	8.62981094842	13.0665556281	5.66766066578	5.7921363488	8.76180298357	10.163222565	12.1694277985	Eryth
Eryth.CD34-CD71+GlyA-	12.106319774	6.63733505299	8.49998089976	12.7760149137	5.76344036258	12.5338914956	6.66395285946	10.5331857074	9.48409520586	9.5207706546	5.52290593505	7.6094156035	5.3819233673	5.51448310402	9.7206127843	10.4379235762	11.9411548173	Eryth
