sample	cell_type	coarse_type	Bcell	DC	Erythroid	HSC_like	Myeloid	T_NK
Myeloid DC.4	Myeloid DC	Myeloid	0.007798427339472747	0.2996784368854053	7.447535612833108e-05	0.0014989942141601749	0.6648420104738745	0.02610765573095892
NK CD56+CD16+	NK CD56+CD16+	T_NK	0.031178327462737625	0.0010715219780983998	0.0002674984749561016	6.306862432660277e-05	0.005596656937406013	0.9618229265224753
NK CD56+CD16+.1	NK CD56+CD16+	T_NK	0.025814200244148666	0.001826729377959191	0.0003808743854162543	4.341181624337748e-05	0.01676603168752703	0.9551687524887054
NK CD56+CD16+.2	NK CD56+CD16+	T_NK	0.06257983762222706	0.00035983439799495536	0.00023919558902361064	0.00010605235614121287	0.0048577912536231635	0.93185728878099
NK CD56+CD16+.3	NK CD56+CD16+	T_NK	0.08822473824158984	0.001955265573280946	0.00047297625574631194	7.16262029778184e-05	0.011785440465633318	0.8974899532607717
NK CD56+CD16+.4	NK CD56+CD16+	T_NK	0.011752901008970421	0.00038836989253848204	0.00010026570190582364	3.171108850377778e-05	0.006870818842909589	0.9808559334651719
NK CD56-CD16+	NK CD56-CD16+	T_NK	0.19461854839016288	0.0005995753517191733	0.0010696637045379711	5.916821710995066e-05	0.05605353682690336	0.7475995075095667
NK CD56-CD16+.1	NK CD56-CD16+	T_NK	0.2958091210991952	0.0005332236493782264	0.0023515745382458766	0.00010387812456576841	0.034034017340475044	0.6671681852481398
NK CD56-CD16+.2	NK CD56-CD16+	T_NK	0.2771513274622004	0.00023292522548250963	0.001304943827680044	0.00017402495182040746	0.07128044713760415	0.6498563313952125
NK CD56-CD16+.3	NK CD56-CD16+	T_NK	0.14195653060089225	0.0042773760463240326	0.0029668094254795482	3.1483234362566866e-05	0.05704164996299935	0.7937261507299422
NK CD56-CD16-	NK CD56-CD16-	T_NK	0.17836471459354752	0.02382554671227162	0.004067387424049489	0.00021885045773726428	0.038125848161862	0.755397652650532
NK CD56-CD16-.1	NK CD56-CD16-	T_NK	0.0837027734436696	0.003612899626185722	0.005743965128107034	0.000368948313318655	0.01723187208491003	0.8893395414038089
NK CD56-CD16-.2	NK CD56-CD16-	T_NK	0.033079272888465634	0.005519338545555185	0.002103769035681073	0.00013426290383237646	0.012965114590561908	0.9461982420359039
NK CD56-CD16-.3	NK CD56-CD16-	T_NK	0.13475283550429157	0.008520252626379864	0.033281772855284726	0.0008518995989016781	0.046326492782911385	0.7762667466322308
NK CD56-CD16-.4	NK CD56-CD16-	T_NK	0.12823038759182137	0.1101092220025494	0.052057424861855855	0.0003515728568489786	0.24410485689586348	0.4651465357910609
NKT	NKT	T_NK	0.32486208634765845	0.11405925009696125	0.026760216421717706	0.00011008385458769443	0.25211007511599454	0.2820982881630804
NKT.1	NKT	T_NK	0.30720752105074783	0.0003266212591594919	0.0017046345360543157	0.00014173219982071503	0.08698255887785675	0.6036369320763609
NKT.2	NKT	T_NK	0.0884703172618414	0.0031959369267923372	0.0006177779668802988	9.115946227020166e-05	0.029265488356052242	0.8783593200261636
NKT.3	NKT	T_NK	0.07517230663467218	0.05096690657716213	0.0039483895240943106	8.717215717433695e-05	0.05350452001033152	0.8163207050965655
Naive B-cells	Naive B-cells	Bcell	0.580315566536012	0.0035685301422576443	0.0006934587758151677	0.0002608925376581947	0.0830789969613408	0.332082555046916
Naive B-cells.1	Naive B-cells	Bcell	0.3567171311235639	0.008504887989332813	0.0011230118463569673	0.00024549765076437583	0.07744364244137213	0.5559658289486098
Naive B-cells.2	Naive B-cells	Bcell	0.5840842802775388	0.00491540171503925	0.0005534965465588515	0.00022206816335762893	0.10020233122988981	0.31002242206761554
Naive B-cells.3	Naive B-cells	Bcell	0.6997454910864854	0.007966380678959707	0.0007416634786089153	0.00035357569891003403	0.09600666748552565	0.19518622157151044
Naive B-cells.4	Naive B-cells	Bcell	0.5930274556421605	0.0033938962727712474	0.00032670326391901313	0.00020776442102408272	0.12909496867033743	0.2739492117297877
Naive CD4+ T-cell	Naive CD4+ T-cell	T_NK	0.01081805341184019	0.0011794482461840096	0.0003963286830532608	8.410994601313156e-05	0.0070823003223712735	0.9804397593905381
Naive CD4+ T-cell.1	Naive CD4+ T-cell	T_NK	0.07240823048831152	0.017669293814579903	0.0013122793844288227	0.0004526904179977544	0.021807521837087066	0.8863499840575949
Naive CD4+ T-cell.2	Naive CD4+ T-cell	T_NK	0.370240880470866	0.008787521461576773	0.0032978259381436707	0.0052677571512667175	0.05643338932710702	0.5559726256510399
Naive CD4+ T-cell.3	Naive CD4+ T-cell	T_NK	0.0721391996232757	0.0012457579281997036	0.0004201962412188095	0.00039200955435216684	0.010847147514530489	0.9149556891384232
Naive CD4+ T-cell.4	Naive CD4+ T-cell	T_NK	0.015739570799155746	0.0009738605234954975	0.00014936145992305467	4.902415831878674e-05	0.009617159804643555	0.9734710232544634
Naive CD4+ T-cell.5	Naive CD4+ T-cell	T_NK	0.08099136746812394	0.0010295312407537604	0.00022303624090382827	0.0002655363192018789	0.010108085045394212	0.9073824436856224
Naive CD4+ T-cell.6	Naive CD4+ T-cell	T_NK	0.010278767487435395	0.00041172971751883623	4.697760481237691e-05	3.587220460908258e-05	0.002573685585514256	0.98665296740011
Naive CD8+ T-cell	Naive CD8+ T-cell	T_NK	0.06357112219935852	0.0037337449688372255	0.0009892965457938279	0.00016939686995049837	0.017199148151062646	0.9143372912649973
Naive CD8+ T-cell.1	Naive CD8+ T-cell	T_NK	0.16255707085222357	0.013063168360565787	0.0016781726070940895	0.0005058711974324198	0.04820673672525163	0.7739889802574326
Naive CD8+ T-cell.2	Naive CD8+ T-cell	T_NK	0.10776342264105883	0.006188845515881231	0.00030347610134104233	0.0003717620341214343	0.008707523318041989	0.8766649703895555
Naive CD8+ T-cell.3	Naive CD8+ T-cell	T_NK	0.0158807509254449	0.0018809205293051558	6.905593966049027e-05	0.00013474224545155346	0.004583435229404327	0.9774510951307336
Naive CD8+ T-cell.4	Naive CD8+ T-cell	T_NK	0.011749487159051466	0.0011102529342419654	2.7431855190572304e-05	7.713951315911304e-05	0.0009196086673991052	0.9861160798709578
Naive CD8+ T-cell.5	Naive CD8+ T-cell	T_NK	0.012617107836162465	0.0008912124419167408	0.00014350011026851236	6.154627139409754e-05	0.00425801770818605	0.9820286156320721
Naive CD8+ T-cell.6	Naive CD8+ T-cell	T_NK	0.005407868252003608	0.0009423340189053248	2.917920316224074e-05	5.539998804669551e-05	0.0008364285871860539	0.9927287899506961
Plasmacytoid DC	Plasmacytoid DC	DC	0.09463058949505619	0.5159069536616037	0.002835411920028119	0.022134627466526856	0.3354126076590346	0.029079809797750527
Plasmacytoid DC.1	Plasmacytoid DC	DC	0.006136136763032743	0.5722600512820609	0.0003183879320913529	0.0015503885525006169	0.22915996569878327	0.1905750697715312
Plasmacytoid DC.2	Plasmacytoid DC	DC	0.027989053647665053	0.6513549711104644	0.0004698002560434902	0.00012930770636193794	0.21728567844590807	0.10277118883355711
Plasmacytoid DC.3	Plasmacytoid DC	DC	0.052302076609831424	0.6519929102966693	0.0030199839979839745	0.007042907447220171	0.2728834668749273	0.012758654773367841
Plasmacytoid DC.4	Plasmacytoid DC	DC	0.0843813568208574	0.6949889498365325	0.0009961887966283302	0.0001555131164083475	0.20488034395760468	0.01459764747196899
Pro B-cell	Pro B-cell	Bcell	0.240525327949969	0.008355562779044595	0.009154784134526863	0.0010750495385382435	0.008182497783944755	0.7327067778139766
Pro B-cell.1	Pro B-cell	Bcell	0.8078883126676878	0.010662326660653566	0.0032434710794248135	0.00018994363030218277	0.06776020969494786	0.1102557362669839
Pro B-cell.2	Pro B-cell	Bcell	0.941086059850858	0.020681340272612946	0.029336318651181862	0.00016707212869262406	0.007615615966626484	0.0011135931300279166
Pro B-cell.3	Pro B-cell	Bcell	0.35291800121298517	0.06651497752006702	0.025766834154656793	0.00018461349361752498	0.39535833797332587	0.15925723564534788
Pro B-cell.4	Pro B-cell	Bcell	0.14834081180054698	0.0006113951921879132	0.04786901663710163	0.000709296815631019	0.8019002754873075	0.0005692040672249507
